#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-06-14T15:26:51 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-06-14T15:26:51	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/other/Nat/598.267/tables1&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1038059801
#Name: J/other/Nat/598.267
#Title: List of radio bursts (Li+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/other/nat/598.267	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/other/nat/598.267	    IVOID of underlying data collection
#INFO	creator=Li D.	    First author or institution
#INFO	cites=bibcode:2021Natur.598..267L	    Article or Data origin sources
#INFO	journal=Natu	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/other/Nat/598.267	    Dataset landing page
#INFO	publication_date=2022-09-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_other_Nat_598_267_tables1:
#Name: J/other/Nat/598.267/tables1
#Title: All relevant data for the 1652 detected burst events
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Burst	(I4)	Burst ID	[ucd=meta.id;meta.main]
#Column	MJD	(F15.9)	Burst time (MJD) (1)	[ucd=time.epoch]
#Column	DM	(F5.1)	Dispersion measure	[ucd=phys.dispMeasure;instr.dispersion]
#Column	e_DM	(F4.1)	Dispersion measure error	[ucd=stat.error]
#Column	Width	(F5.2)	Pulse width error	[ucd=src.var.pulse]
#Column	e_Width	(F5.2)	Pulse width	[ucd=stat.error;spect.line.width]
#Column	Bandwidth	(F6.3)	Bandwidth (2)	[ucd=em.freq]
#Column	Fp	(F8.3)	Peak flux	[ucd=phot.flux]
#Column	e_Fp	(F4.1)	Peak flux error	[ucd=stat.error]
#Column	Fluence	(F7.4)	Fluence	[ucd=phot.fluence;em.gamma.hard]
#Column	e_Fluence	(F7.4)	Fluence error	[ucd=stat.error;phot.fluence]
#Column	E	(D10.3)	Energy	[ucd=phys.energy]
#Column	e_E	(E10.3)	Energy error	[ucd=stat.error]
recno	Burst	MJD	DM	e_DM	Width	e_Width	Bandwidth	Fp	e_Fp	Fluence	e_Fluence	E	e_E
    1245	1245	58753.942511094	568.0	 0.5	 1.84	 0.00	 0.170	 133.380	 1.4	 0.2454	 0.0000	 2.627e+38	 0.000e+00
    1246	1246	58753.942549935	563.2	 0.5	 4.20	 0.60	 0.210	   8.128	 0.1	 0.0342	 0.0000	 3.657e+37	 3.000e+34
    1247	1247	58753.945441245	568.0	 0.8	 2.10	 0.30	 0.080	  10.310	 1.1	 0.0216	 0.0000	 2.318e+37	 3.000e+34
    1248	1248	58753.946301394	568.1	 0.4	 8.06	 0.09	 0.110	   4.800	 0.7	 0.0387	 0.0001	 4.141e+37	 9.000e+34
    1249	1249	58753.946776275	567.9	 0.8	 4.74	 0.03	 0.400	  15.710	 0.8	 0.0745	 0.0000	 7.971e+37	 2.000e+34
    1250	1250	58753.946776744	567.1	 0.8	 7.23	 0.08	 0.400	   8.820	 0.7	 0.0638	 0.0001	 6.826e+37	 5.000e+34
    1251	1251	58753.946885822	565.1	 0.3	 7.47	 0.01	 0.450	 176.200	 1.0	 1.3162	 0.0000	 1.409e+39	 0.000e+00
    1252	1252	58753.947970664	567.3	 0.5	 4.27	 0.04	 0.120	  12.380	 0.8	 0.0529	 0.0000	 5.659e+37	 3.000e+34
    1253	1253	58753.947970711	567.5	 0.2	 1.78	 0.08	 0.120	   3.570	 1.3	 0.0063	 0.0001	 6.802e+36	 1.100e+34
    1254	1254	58753.949288479	567.6	 0.7	 2.28	 0.03	 0.040	  10.550	 1.0	 0.0240	 0.0000	 2.575e+37	 2.000e+34
    1255	1255	58753.952392833	565.1	 0.4	 7.42	 0.06	 0.120	   9.470	 0.7	 0.0703	 0.0000	 7.522e+37	 4.000e+34
    1256	1256	58753.952772196	565.4	 0.3	 3.00	 0.20	 0.300	  24.700	 1.1	 0.0741	 0.0000	 7.932e+37	 1.000e+34
    1257	1257	58753.952772217	566.3	 0.4	 3.51	 0.02	 0.120	  11.870	 0.2	 0.0417	 0.0000	 4.460e+37	 0.000e+00
    1258	1258	58753.952825963	566.8	 0.3	 4.46	 0.04	 0.100	  12.200	 0.9	 0.0544	 0.0000	 5.825e+37	 4.000e+34
    1259	1259	58753.952826042	566.9	 0.4	 3.30	 0.30	 0.120	  12.860	 1.1	 0.0424	 0.0000	 4.543e+37	 3.000e+34
    1260	1260	58753.952903531	563.2	 0.4	 2.66	 0.08	 0.120	   5.560	 1.4	 0.0148	 0.0001	 1.583e+37	 1.200e+35
    1261	1261	58753.952903590	566.9	 0.3	 5.82	 0.09	 0.300	   8.880	 0.8	 0.0517	 0.0001	 5.532e+37	 8.000e+34
    1262	1262	58754.984296416	566.0	 0.5	 3.49	 0.05	 0.160	  27.188	 0.3	 0.0949	 0.0001	 1.016e+38	 1.000e+35
    1263	1263	58754.984941175	565.6	 0.5	 2.99	 0.05	 0.100	  22.410	 1.6	 0.0670	 0.0001	 7.173e+37	 7.000e+34
    1264	1264	58754.984941211	565.6	 0.5	 2.70	 0.40	 0.400	  23.950	 1.9	 0.0647	 0.0001	 6.922e+37	 7.000e+34
    1265	1265	58754.984941335	565.6	 0.5	 5.11	 0.06	 0.360	  12.010	 1.1	 0.0614	 0.0001	 6.570e+37	 6.000e+34
    1266	1266	58754.987095746	569.2	 0.7	 3.92	 0.07	 0.400	   8.490	 1.2	 0.0333	 0.0001	 3.563e+37	 8.000e+34
    1267	1267	58754.987208332	565.1	 0.4	 2.89	 0.09	 0.300	   7.830	 2.0	 0.0226	 0.0002	 2.422e+37	 1.900e+35
    1268	1268	58754.987208380	565.1	 0.4	 4.47	 0.09	 0.300	  11.420	 1.2	 0.0510	 0.0001	 5.465e+37	 1.200e+35
    1269	1269	58754.987209118	566.5	 0.7	 5.66	 0.07	 0.200	  10.710	 1.1	 0.0606	 0.0001	 6.489e+37	 7.000e+34
    1270	1270	58754.987537140	564.3	 0.2	 4.35	 0.03	 0.180	  31.820	 1.2	 0.1384	 0.0000	 1.482e+38	 0.000e+00
    1271	1271	58754.987719067	565.6	 0.4	 3.04	 0.03	 0.030	  18.370	 1.4	 0.0558	 0.0000	 5.978e+37	 3.000e+34
    1272	1272	58754.987733048	567.1	 0.3	 3.41	 0.04	 0.030	  14.220	 1.3	 0.0485	 0.0001	 5.191e+37	 5.000e+34
    1273	1273	58754.989178262	568.0	 1.0	 7.63	 0.08	 0.100	  10.910	 0.9	 0.0832	 0.0001	 8.911e+37	 7.000e+34
    1274	1274	58754.989552169	566.0	 0.8	 3.98	 0.09	 0.200	   7.160	 8.0	 0.0285	 0.0019	 3.051e+37	 2.000e+35
    1275	1275	58754.989552214	567.1	 0.6	 7.75	 0.09	 0.200	   7.100	 3.3	 0.0550	 0.0014	 5.890e+37	 1.500e+35
    1276	1276	58754.990572445	566.7	 0.6	 3.59	 0.04	 0.060	  14.380	 1.2	 0.0516	 0.0000	 5.526e+37	 4.000e+34
    1277	1277	58754.990710551	568.1	 0.6	 3.82	 0.05	 0.150	  12.890	 1.3	 0.0492	 0.0001	 5.271e+37	 6.000e+34
    1278	1278	58754.991775229	567.9	 0.7	 3.79	 0.07	 0.120	   7.950	 1.1	 0.0301	 0.0001	 3.225e+37	 8.000e+34
    1279	1279	58754.992775800	564.2	 0.5	 1.34	 0.03	 0.140	  22.190	 1.2	 0.0297	 0.0000	 3.183e+37	 4.000e+34
    1280	1280	58754.992775813	567.1	 0.4	 2.43	 0.02	 0.400	  24.000	 1.4	 0.0583	 0.0000	 6.243e+37	 2.000e+34
    1281	1281	58754.993681280	566.6	 0.4	 3.63	 0.04	 0.370	  14.950	 1.3	 0.0543	 0.0001	 5.809e+37	 5.000e+34
    1282	1282	58754.993681362	565.9	 0.5	 6.07	 0.04	 0.310	  20.460	 1.1	 0.1242	 0.0000	 1.329e+38	 0.000e+00
    1283	1283	58754.994496278	566.5	 0.3	 1.57	 0.03	 0.360	  12.690	 1.9	 0.0199	 0.0001	 2.133e+37	 5.000e+34
    1284	1284	58754.995154626	564.9	 0.3	 3.13	 0.04	 0.130	  13.500	 1.4	 0.0423	 0.0001	 4.523e+37	 5.000e+34
    1285	1285	58754.996040469	568.9	 0.7	 2.37	 0.04	 0.020	   9.960	 1.5	 0.0236	 0.0001	 2.527e+37	 7.000e+34
    1286	1286	58754.996043103	567.9	 0.6	 7.02	 0.09	 0.069	   7.460	 0.9	 0.0524	 0.0001	 5.606e+37	 1.000e+35
    1287	1287	58754.997254039	566.7	 0.7	 3.28	 0.03	 0.400	  18.780	 1.4	 0.0616	 0.0000	 6.594e+37	 4.000e+34
    1288	1288	58754.997528680	566.4	 0.6	 4.10	 0.50	 0.150	  11.450	 1.2	 0.0469	 0.0001	 5.025e+37	 6.000e+34
    1289	1289	58755.000407219	564.4	 0.3	 2.00	 0.00	 0.320	 210.780	 1.9	 0.4216	 0.0000	 4.513e+38	 0.000e+00
    1290	1290	58755.000407238	566.4	 1.2	 1.80	 0.10	 0.350	 213.840	 1.5	 0.3849	 0.0000	 4.120e+38	 0.000e+00
    1291	1291	58755.000445434	565.7	 0.5	 4.82	 0.06	 0.140	   8.520	 0.9	 0.0411	 0.0001	 4.396e+37	 6.000e+34
    1292	1292	58755.000445904	565.7	 0.5	 4.26	 0.06	 0.130	   9.580	 1.1	 0.0408	 0.0001	 4.369e+37	 6.000e+34
    1293	1293	58755.000548752	566.7	 0.2	 4.74	 0.04	 0.120	  13.950	 0.9	 0.0661	 0.0000	 7.078e+37	 3.000e+34
    1294	1294	58755.000548763	565.4	 0.4	 4.52	 0.05	 0.100	  12.120	 0.7	 0.0548	 0.0000	 5.864e+37	 3.000e+34
    1295	1295	58755.003864649	568.1	 0.5	 4.74	 0.07	 0.110	   4.552	 0.1	 0.0216	 0.0000	 2.311e+37	 2.000e+34
    1296	1296	58755.004740649	561.9	 0.5	 6.03	 0.09	 0.200	   4.651	 0.1	 0.0280	 0.0000	 3.000e+37	 3.000e+34
    1297	1297	58755.006241824	564.7	 0.4	12.95	 0.09	 0.200	   8.570	 0.8	 0.1110	 0.0001	 1.188e+38	 1.000e+35
    1298	1298	58755.006592410	565.7	 0.3	 3.45	 0.05	 0.100	  10.290	 1.3	 0.0355	 0.0001	 3.800e+37	 7.000e+34
    1299	1299	58755.006875758	565.2	 0.3	 6.22	 0.09	 0.045	   6.630	 0.8	 0.0412	 0.0001	 4.415e+37	 7.000e+34
    1300	1300	58755.007868090	565.2	 0.3	 3.38	 0.03	 0.100	  15.120	 1.1	 0.0511	 0.0000	 5.471e+37	 3.000e+34
    1301	1301	58755.008651718	568.7	 0.5	 6.57	 0.09	 0.200	   6.280	 0.8	 0.0413	 0.0001	 4.417e+37	 8.000e+34
    1302	1302	58755.013064748	563.7	 0.3	 4.09	 0.01	 0.240	  72.750	 1.2	 0.2975	 0.0000	 3.185e+38	 0.000e+00
    1303	1303	58755.013617755	566.0	 0.4	 3.66	 0.04	 0.130	  22.190	 1.1	 0.0812	 0.0000	 8.694e+37	 4.000e+34
    1304	1304	58755.013617786	567.4	 0.8	 1.43	 0.05	 0.130	   7.760	 2.6	 0.0111	 0.0001	 1.188e+37	 1.400e+35
    1305	1305	58755.013887775	568.1	 0.3	 2.30	 0.30	 0.120	  15.250	 1.4	 0.0351	 0.0000	 3.755e+37	 3.000e+34
    1306	1306	58755.013940489	568.5	 0.5	 4.39	 0.06	 0.300	   5.118	 0.1	 0.0225	 0.0000	 2.404e+37	 3.000e+34
    1307	1307	58755.014108161	567.2	 0.3	 4.61	 0.06	 0.040	   9.660	 1.1	 0.0445	 0.0001	 4.767e+37	 6.000e+34
    1308	1308	58755.014420926	564.3	 0.3	 5.69	 0.07	 0.040	  10.500	 1.0	 0.0597	 0.0001	 6.396e+37	 7.000e+34
    1309	1309	58755.014421395	566.3	 0.5	 4.05	 0.06	 0.100	   9.330	 1.2	 0.0378	 0.0001	 4.045e+37	 7.000e+34
    1310	1310	58755.016778532	566.9	 0.4	 4.72	 0.05	 0.090	  14.520	 1.2	 0.0685	 0.0001	 7.336e+37	 6.000e+34
    1311	1311	58755.017582020	566.2	 0.6	 3.51	 0.04	 0.300	  14.260	 1.5	 0.0500	 0.0001	 5.358e+37	 7.000e+34
    1312	1312	58755.018422613	564.7	 0.2	 2.64	 0.03	 0.190	  16.240	 1.6	 0.0429	 0.0001	 4.590e+37	 5.000e+34
    1313	1313	58755.020525183	569.2	 0.7	 5.34	 0.05	 0.200	  16.890	 1.2	 0.0902	 0.0001	 9.655e+37	 6.000e+34
    1314	1314	58755.021036502	563.3	 0.3	 6.99	 0.06	 0.180	  15.540	 1.1	 0.1086	 0.0001	 1.163e+38	 0.000e+00
    1315	1315	58755.021082202	563.3	 0.3	 6.13	 0.04	 0.210	  26.680	 1.3	 0.1636	 0.0000	 1.751e+38	 0.000e+00
    1316	1316	58755.021676911	570.0	 0.5	 3.94	 0.06	 0.100	  12.390	 1.5	 0.0488	 0.0001	 5.226e+37	 9.000e+34
    1317	1317	58755.021859377	567.6	 0.6	 4.53	 0.07	 0.120	  11.350	 1.4	 0.0514	 0.0001	 5.504e+37	 1.000e+35
    1318	1318	58755.022140157	566.2	 0.5	 3.55	 0.03	 0.150	  20.770	 1.5	 0.0737	 0.0000	 7.893e+37	 4.000e+34
    1319	1319	58755.022909893	564.4	 0.6	 3.15	 0.04	 0.115	  16.110	 1.8	 0.0508	 0.0001	 5.432e+37	 7.000e+34
    1320	1320	58755.023399422	566.0	 0.5	 3.63	 0.05	 0.240	  20.057	 0.3	 0.0728	 0.0001	 7.798e+37	 1.200e+35
    1321	1321	58755.023566549	568.1	 0.5	 4.64	 0.07	 0.310	  16.713	 0.2	 0.0775	 0.0001	 8.294e+37	 1.300e+35
    1322	1322	58755.885045688	566.0	 0.5	 5.58	 0.08	 0.240	  13.476	 0.1	 0.0751	 0.0001	 8.044e+37	 7.000e+34
    1323	1323	58755.885112829	565.9	 0.5	 5.23	 0.08	 0.180	  11.747	 0.1	 0.0615	 0.0001	 6.581e+37	 6.000e+34
    1324	1324	58755.885199843	565.0	 0.5	 7.70	 0.90	 0.230	   5.333	 0.1	 0.0411	 0.0000	 4.395e+37	 4.000e+34
    1325	1325	58755.887770633	567.2	 0.5	 6.16	 0.09	 0.065	   5.663	 0.1	 0.0349	 0.0000	 3.734e+37	 3.000e+34
    1326	1326	58755.887916349	566.0	 0.5	 3.10	 0.50	 0.070	  14.416	 0.1	 0.0446	 0.0000	 4.779e+37	 4.000e+34
    1327	1327	58755.889345460	566.0	 0.5	 3.86	 0.06	 0.310	  13.534	 0.1	 0.0523	 0.0000	 5.597e+37	 5.000e+34
    1328	1328	58755.889551295	566.0	 0.5	 5.31	 0.08	 0.200	  18.303	 0.1	 0.0973	 0.0001	 1.041e+38	 0.000e+00
    1329	1329	58755.892229271	566.0	 0.5	 3.68	 0.05	 0.450	 218.013	 1.8	 0.8025	 0.0007	 8.591e+38	 7.000e+35
    1330	1330	58755.892238170	565.7	 0.0	 2.77	 0.04	 0.300	   9.780	 1.1	 0.0271	 0.0000	 2.900e+37	 3.000e+34
    1331	1331	58755.892241124	567.7	 0.5	 1.62	 0.03	 0.200	   8.240	 1.4	 0.0134	 0.0000	 1.429e+37	 4.000e+34
    1332	1332	58755.893744435	565.9	 0.5	 8.19	 0.09	 0.150	   9.358	 0.1	 0.0766	 0.0001	 8.204e+37	 7.000e+34
    1333	1333	58755.894470327	566.0	 0.5	 3.33	 0.05	 0.180	  21.069	 0.2	 0.0701	 0.0001	 7.504e+37	 6.000e+34
    1334	1334	58755.894632086	566.0	 0.5	 4.67	 0.07	 0.190	  20.058	 0.2	 0.0936	 0.0001	 1.002e+38	 0.000e+00
    1335	1335	58755.895460954	564.9	 0.5	 3.45	 0.05	 0.300	   8.050	 0.9	 0.0278	 0.0000	 2.973e+37	 4.000e+34
    1336	1336	58755.895540443	566.0	 0.5	 3.57	 0.05	 0.290	  24.037	 0.2	 0.0859	 0.0001	 9.190e+37	 8.000e+34
    1337	1337	58755.895963795	567.6	 0.5	 8.49	 0.09	 0.180	   8.641	 0.1	 0.0733	 0.0001	 7.850e+37	 7.000e+34
    1338	1338	58755.898783886	566.0	 0.5	 3.11	 0.05	 0.270	 211.127	 1.6	 0.6567	 0.0006	 7.030e+38	 6.000e+35
    1339	1339	58755.898816111	568.5	 0.5	 8.32	 0.09	 0.100	   8.674	 0.1	 0.0722	 0.0001	 7.727e+37	 6.000e+34
    1340	1340	58755.899096592	562.8	 0.5	 8.33	 0.09	 0.190	   5.003	 0.0	 0.0417	 0.0000	 4.461e+37	 3.000e+34
    1341	1341	58755.899138835	564.5	 0.5	 3.98	 0.06	 0.090	   3.867	 0.0	 0.0154	 0.0000	 1.647e+37	 1.000e+34
    1342	1342	58756.843182037	566.0	 0.5	 2.60	 0.40	 0.220	  25.396	 0.3	 0.0660	 0.0001	 7.064e+37	 9.000e+34
    1343	1343	58756.843306344	566.0	 0.5	 3.83	 0.06	 0.170	  12.595	 0.1	 0.0482	 0.0001	 5.158e+37	 6.000e+34
    1344	1344	58756.843764668	566.0	 0.5	 4.12	 0.06	 0.300	  35.519	 0.4	 0.1464	 0.0002	 1.567e+38	 2.000e+35
    1345	1345	58756.845079396	569.8	 0.5	 6.45	 0.09	 0.210	   4.175	 0.1	 0.0269	 0.0000	 2.885e+37	 3.000e+34
    1346	1346	58756.846970180	567.3	 0.4	 2.38	 0.02	 0.220	  24.390	 1.6	 0.0580	 0.0000	 6.214e+37	 3.000e+34
    1347	1347	58756.846971140	566.8	 0.3	 4.37	 0.07	 0.200	   8.760	 1.2	 0.0383	 0.0001	 4.098e+37	 8.000e+34
    1348	1348	58756.847036296	566.7	 0.3	 3.40	 0.40	 0.090	  13.430	 1.3	 0.0457	 0.0000	 4.888e+37	 5.000e+34
    1349	1349	58756.847394000	566.2	 0.6	 2.92	 0.02	 0.270	  24.670	 1.4	 0.0720	 0.0000	 7.711e+37	 3.000e+34
    1350	1350	58756.848295515	567.1	 0.3	 2.63	 0.01	 0.450	 272.780	 9.3	 0.7174	 0.0001	 7.680e+38	 0.000e+00
    1351	1351	58756.848730684	565.1	 0.3	 3.41	 0.04	 0.040	  11.850	 1.3	 0.0404	 0.0001	 4.326e+37	 6.000e+34
    1352	1352	58756.849107671	565.5	 0.6	 3.00	 0.30	 0.400	  16.750	 1.5	 0.0503	 0.0000	 5.379e+37	 4.000e+34
    1353	1353	58756.849107875	568.6	 0.7	 2.26	 0.08	 0.450	   7.030	 2.1	 0.0159	 0.0002	 1.701e+37	 1.800e+35
    1354	1354	58756.849736535	566.0	 0.4	 3.66	 0.05	 0.100	  10.480	 1.2	 0.0384	 0.0001	 4.106e+37	 5.000e+34
    1355	1355	58756.850108748	566.4	 0.2	 3.68	 0.04	 0.450	  15.350	 1.2	 0.0565	 0.0000	 6.047e+37	 4.000e+34
    1356	1356	58756.850223938	566.4	 0.2	 3.61	 0.05	 0.200	  13.020	 1.4	 0.0470	 0.0001	 5.032e+37	 6.000e+34
    1357	1357	58756.850224192	565.7	 0.6	 3.91	 0.03	 0.200	  19.050	 1.3	 0.0745	 0.0000	 7.974e+37	 4.000e+34
    1358	1358	58756.850858274	565.9	 0.3	 2.41	 0.01	 0.450	 241.910	 8.6	 0.5830	 0.0000	 6.241e+38	 0.000e+00
    1359	1359	58756.850858300	565.9	 0.3	 2.78	 0.00	 0.450	 394.880	 5.8	 1.0978	 0.0000	 1.175e+39	 0.000e+00
    1360	1360	58756.851647064	565.8	 0.4	 4.58	 0.03	 0.320	  18.940	 1.1	 0.0867	 0.0000	 9.286e+37	 3.000e+34
    1361	1361	58756.851647120	567.2	 0.4	 3.45	 0.02	 0.210	  16.210	 1.3	 0.0559	 0.0000	 5.987e+37	 3.000e+34
    1362	1362	58756.851651577	566.7	 0.3	 3.79	 0.03	 0.300	  17.300	 1.2	 0.0656	 0.0000	 7.019e+37	 3.000e+34
    1363	1363	58756.851651620	569.0	 0.5	 3.21	 0.05	 0.260	  17.700	 1.0	 0.0568	 0.0000	 6.082e+37	 4.000e+34
    1364	1364	58756.851702464	565.8	 0.3	 5.70	 0.20	 0.200	  75.000	 1.1	 0.4275	 0.0000	 4.576e+38	 0.000e+00
    1365	1365	58756.851702537	565.4	 0.5	 5.01	 0.06	 0.200	  18.880	 1.2	 0.0946	 0.0001	 1.013e+38	 0.000e+00
    1366	1366	58756.852097829	566.4	 0.5	 2.36	 0.02	 0.060	  25.130	 1.6	 0.0593	 0.0000	 6.349e+37	 2.000e+34
    1367	1367	58756.852097863	565.3	 0.5	 2.10	 0.60	 0.150	  25.850	 1.2	 0.0543	 0.0001	 5.811e+37	 7.000e+34
    1368	1368	58756.852515302	567.4	 0.3	 2.05	 0.02	 0.080	  25.470	 1.7	 0.0522	 0.0000	 5.589e+37	 2.000e+34
    1369	1369	58756.852515311	566.5	 0.3	 2.03	 0.03	 0.120	  27.410	 1.5	 0.0556	 0.0000	 5.956e+37	 4.000e+34
    1370	1370	58756.852784688	566.2	 0.5	 7.03	 0.07	 0.080	  10.680	 0.9	 0.0751	 0.0001	 8.037e+37	 7.000e+34
    1371	1371	58756.853475520	567.8	 0.5	 2.73	 0.06	 0.200	  16.330	 5.0	 0.0446	 0.0003	 4.772e+37	 3.100e+35
    1372	1372	58756.853475558	569.1	 0.7	 6.02	 0.09	 0.200	   5.350	 1.6	 0.0322	 0.0006	 3.448e+37	 6.100e+35
    1373	1373	58756.855021790	565.8	 0.4	 4.27	 0.02	 0.130	  27.400	 1.3	 0.1170	 0.0000	 1.252e+38	 0.000e+00
    1374	1374	58756.855021841	565.8	 0.4	 3.40	 0.40	 0.110	  30.100	 1.1	 0.1023	 0.0000	 1.096e+38	 0.000e+00
    1375	1375	58756.855022586	565.4	 0.5	 3.45	 0.05	 0.300	  10.810	 1.2	 0.0373	 0.0001	 3.992e+37	 6.000e+34
    1376	1376	58756.855152253	566.0	 0.4	 4.90	 0.70	 0.150	  12.390	 1.8	 0.0607	 0.0001	 6.499e+37	 1.300e+35
    1377	1377	58756.856002153	565.3	 0.4	 1.94	 0.01	 0.170	  31.460	 1.6	 0.0610	 0.0000	 6.533e+37	 2.000e+34
    1378	1378	58756.856005325	566.9	 0.8	 4.81	 0.06	 0.200	  10.320	 1.1	 0.0496	 0.0001	 5.314e+37	 6.000e+34
    1379	1379	58756.857136633	565.2	 0.6	 2.79	 0.03	 0.400	  17.270	 1.4	 0.0482	 0.0000	 5.158e+37	 3.000e+34
    1380	1380	58756.857136946	566.9	 0.4	 6.77	 0.07	 0.400	  10.370	 0.8	 0.0702	 0.0001	 7.515e+37	 6.000e+34
    1381	1381	58756.857326651	566.2	 0.4	 3.52	 0.04	 0.400	  11.830	 1.1	 0.0416	 0.0000	 4.458e+37	 5.000e+34
    1382	1382	58756.857327243	565.9	 0.4	 3.13	 0.03	 0.400	  16.010	 1.3	 0.0501	 0.0000	 5.364e+37	 4.000e+34
    1383	1383	58756.857545153	566.0	 0.5	 4.06	 0.06	 0.090	   7.568	 0.1	 0.0307	 0.0000	 3.290e+37	 3.000e+34
    1384	1384	58756.857986082	565.1	 0.3	 2.21	 0.03	 0.090	  12.650	 1.5	 0.0280	 0.0000	 2.993e+37	 5.000e+34
    1385	1385	58756.858056970	566.2	 0.3	 6.00	 0.30	 0.300	  26.090	 1.0	 0.1565	 0.0000	 1.676e+38	 0.000e+00
    1386	1386	58756.858909661	565.7	 0.6	 2.37	 0.04	 0.095	  10.060	 1.5	 0.0238	 0.0001	 2.552e+37	 6.000e+34
    1387	1387	58756.859256499	564.8	 0.4	 3.44	 0.04	 0.100	  10.830	 1.2	 0.0373	 0.0001	 3.988e+37	 5.000e+34
    1388	1388	58756.859277409	564.9	 0.7	 4.31	 0.05	 0.100	  10.630	 1.0	 0.0458	 0.0001	 4.904e+37	 5.000e+34
    1389	1389	58756.859624335	564.6	 0.6	 2.70	 0.20	 0.210	  23.610	 1.8	 0.0638	 0.0000	 6.824e+37	 4.000e+34
    1390	1390	58756.859624392	564.6	 0.6	 5.83	 0.09	 0.200	   9.320	 1.0	 0.0543	 0.0001	 5.817e+37	 1.200e+35
    1391	1391	58756.859753799	564.1	 0.5	 5.95	 0.09	 0.200	   3.934	 0.0	 0.0234	 0.0000	 2.506e+37	 2.000e+34
    1392	1392	58756.860198086	566.7	 0.4	 3.45	 0.02	 0.120	  27.520	 1.1	 0.0949	 0.0000	 1.016e+38	 0.000e+00
    1393	1393	58756.860655327	566.1	 0.6	 4.01	 0.02	 0.350	  31.010	 1.1	 0.1244	 0.0000	 1.331e+38	 0.000e+00
    1394	1394	58756.860655378	567.5	 0.5	 3.50	 0.50	 0.350	  29.860	 1.0	 0.1045	 0.0000	 1.119e+38	 0.000e+00
    1395	1395	58756.860846580	564.9	 0.4	 5.46	 0.03	 0.200	  19.690	 1.0	 0.1075	 0.0000	 1.151e+38	 0.000e+00
    1396	1396	58756.861050533	567.2	 0.5	12.10	 0.90	 0.190	   4.925	 0.1	 0.0596	 0.0001	 6.378e+37	 7.000e+34
    1397	1397	58756.861694854	566.0	 0.4	 2.68	 0.04	 0.210	  19.260	 2.2	 0.0516	 0.0001	 5.525e+37	 8.000e+34
    1398	1398	58756.861694897	566.0	 0.4	 8.47	 0.09	 0.210	   9.450	 1.1	 0.0800	 0.0001	 8.568e+37	 1.500e+35
    1399	1399	58756.862378111	568.3	 0.6	 6.30	 0.70	 0.450	  21.020	 1.1	 0.1324	 0.0001	 1.418e+38	 0.000e+00
    1400	1400	58756.862378176	568.3	 0.5	 4.45	 0.08	 0.450	  12.720	 2.0	 0.0566	 0.0002	 6.059e+37	 1.600e+35
    1401	1401	58756.862547257	566.1	 0.7	 3.37	 0.03	 0.400	  16.250	 1.2	 0.0548	 0.0000	 5.862e+37	 3.000e+34
    1402	1402	58756.863474070	566.1	 0.4	 2.52	 0.05	 0.400	  18.380	 1.9	 0.0463	 0.0001	 4.958e+37	 1.000e+35
    1403	1403	58756.863474100	567.1	 0.4	 2.40	 0.90	 0.100	   9.580	 2.2	 0.0230	 0.0002	 2.461e+37	 2.000e+35
    1404	1404	58756.863606656	564.4	 0.6	 2.66	 0.02	 0.100	  21.310	 1.3	 0.0567	 0.0000	 6.068e+37	 2.000e+34
    1405	1405	58756.863606659	566.9	 0.5	 2.14	 0.02	 0.130	  19.870	 1.1	 0.0425	 0.0000	 4.552e+37	 2.000e+34
    1406	1406	58756.863643121	565.1	 0.5	 2.17	 0.02	 0.200	  27.550	 1.6	 0.0598	 0.0000	 6.400e+37	 2.000e+34
    1407	1407	58756.863643162	568.7	 0.6	 2.20	 0.40	 0.200	  26.660	 1.2	 0.0587	 0.0000	 6.279e+37	 4.000e+34
    1408	1408	58756.863687515	564.8	 0.6	 4.24	 0.06	 0.300	  20.160	 2.6	 0.0855	 0.0002	 9.150e+37	 1.700e+35
    1409	1409	58756.863687565	569.1	 0.6	 4.62	 0.09	 0.300	   8.680	 2.0	 0.0401	 0.0003	 4.293e+37	 3.600e+35
    1410	1410	58756.863895521	566.3	 0.3	 3.01	 0.04	 0.300	  10.250	 1.2	 0.0308	 0.0001	 3.303e+37	 5.000e+34
